"resultId","raceId","driverId","constructorId","positionOrder","laps","fastestLapSpeed","statusId","driver_name","constructor_name","year","round","circuitId","race_name","status","circuit_name","total_time","avg_lap","circuit_avg_lap","circuit_lap_sd","std_avg_lap"
1,18,1,1,1,58,"218.300",1,"Lewis Hamilton","McLaren",2008,1,1,"Australian Grand Prix","Finished","Albert Park Grand Prix Circuit",5690616,98114.0689655172,99150.9416530481,9453.61082724941,-0.109680068968164
2,18,2,2,2,58,"217.586",1,"Nick Heidfeld","BMW Sauber",2008,1,1,"Australian Grand Prix","Finished","Albert Park Grand Prix Circuit",5696094,98208.5172413793,99150.9416530481,9453.61082724941,-0.0996893598531007
3,18,3,3,3,58,"216.719",1,"Nico Rosberg","Williams",2008,1,1,"Australian Grand Prix","Finished","Albert Park Grand Prix Circuit",5698779,98254.8103448276,99150.9416530481,9453.61082724941,-0.0947924898322999
4,18,4,4,4,58,"215.464",1,"Fernando Alonso","Renault",2008,1,1,"Australian Grand Prix","Finished","Albert Park Grand Prix Circuit",5707797,98410.2931034483,99150.9416530481,9453.61082724941,-0.0783455721981905
5,18,5,1,5,58,"218.385",1,"Heikki Kovalainen","McLaren",2008,1,1,"Australian Grand Prix","Finished","Albert Park Grand Prix Circuit",5708630,98424.6551724138,99150.9416530481,9453.61082724941,-0.0768263570297255
6,18,6,3,6,57,"212.974",11,"Kazuki Nakajima","Williams",2008,1,1,"Australian Grand Prix","+1 Lap","Albert Park Grand Prix Circuit",5704685,100082.192982456,99150.9416530481,9453.61082724941,0.0985074747020183
7,18,7,5,7,55,"213.224",5,"Sébastien Bourdais","Toro Rosso",2008,1,1,"Australian Grand Prix","Engine","Albert Park Grand Prix Circuit",5437541,98864.3818181818,99150.9416530481,9453.61082724941,-0.0303122098109147
8,18,8,6,8,53,"217.180",5,"Kimi Räikkönen","Ferrari",2008,1,1,"Australian Grand Prix","Engine","Albert Park Grand Prix Circuit",5275340,99534.7169811321,99150.9416530481,9453.61082724941,0.0405956343133707
9,18,9,2,9,47,"215.100",4,"Robert Kubica","BMW Sauber",2008,1,1,"Australian Grand Prix","Collision","Albert Park Grand Prix Circuit",4666665,99290.7446808511,99150.9416530481,9453.61082724941,0.0147883206065502
10,18,10,7,10,43,"213.166",3,"Timo Glock","Toyota",2008,1,1,"Australian Grand Prix","Accident","Albert Park Grand Prix Circuit",4166522,96895.8604651163,99150.9416530481,9453.61082724941,-0.238541783572446
11,18,11,8,11,32,"210.038",7,"Takuma Sato","Super Aguri",2008,1,1,"Australian Grand Prix","Transmission","Albert Park Grand Prix Circuit",3168448,99014,99150.9416530481,9453.61082724941,-0.0144856452788827
12,18,12,4,12,30,"208.907",8,"Nelson Piquet Jr.","Renault",2008,1,1,"Australian Grand Prix","Clutch","Albert Park Grand Prix Circuit",2989308,99643.6,99150.9416530481,9453.61082724941,0.0521132460341832
